row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
44,49,B,8192,22523,1188,23006,1902,18,7
45,59,A,4851,22167,1221,19056,1514,16,4
46,39,C,3238,8923,627,26919,1164,11,3
47,55,C,3695,11089,672,26037,1686,12,3
48,30,D,1444,2803,503,27885,2417,11,0
49,30,D,2770,4581,452,28010,1893,15,1
50,22,D,2189,4217,368,28094,1600,14,1
51,25,A,4276,23338,1488,21402,1504,17,3
52,38,C,3741,12341,862,26960,1573,16,3
53,43,E,8498,79660,1999,29856,1661,17,7
54,43,C,3173,8647,688,26161,1689,16,2
55,25,D,1047,2118,534,28129,1243,11,0
56,35,D,3865,6743,480,28094,1641,15,3
57,39,C,4449,16896,750,24559,1527,13,3
58,50,A,4773,21895,627,19547,1897,15,3
59,49,D,1943,6349,461,28251,1699,11,1
60,38,D,1720,4154,491,28153,1827,15,0
61,44,D,3018,5098,493,27910,1487,14,2
62,46,C,3410,7111,659,25470,1721,15,2
63,45,D,1818,3122,562,28066,2034,12,0
64,30,C,3636,13945,752,25591,1540,13,3
65,29,E,7064,13132,1905,29300,1922,18,6
66,38,C,3630,1089,650,26939,794,13,3
67,25,B,6367,17181,1134,22713,1242,17,6
68,35,D,2255,4178,480,28032,1527,11,1
69,47,D,2794,4164,439,28112,1702,13,2
70,49,C,3643,8267,891,24915,754,15,3
71,23,A,4983,7456,1313,15583,1738,19,4
72,30,C,2728,5678,951,25116,1880,15,1
73,57,D,3385,5120,472,28174,1761,14,2
74,28,E,7364,53970,1818,29201,2047,18,6
75,39,D,2039,3485,523,28045,1647,13,1
76,41,E,6930,54449,947,29713,1998,18,5
77,62,B,7463,21456,1172,23009,1728,13,6
78,42,A,4737,22479,871,13912,1238,18,4
79,56,E,8055,70963,1837,29542,1659,21,7
80,40,A,4726,24466,728,13105,2283,16,3
81,40,C,3730,4208,879,26133,2043,15,2
82,51,D,2659,5403,557,28197,1805,12,1
83,46,E,6587,53762,1775,29666,1995,22,5
84,52,A,3910,14031,1004,19332,1647,18,3
85,35,B,7393,19660,1248,23168,1956,14,6
86,35,C,3050,2579,933,26251,1177,12,2
87,42,D,2606,4550,517,28192,1897,13,1
88,44,D,2517,2411,554,27998,2199,9,1
89,38,D,3255,8118,485,28177,1988,11,2
90,40,C,4183,8934,625,24454,1923,14,3
91,57,B,8136,35106,1158,22590,1393,17,7
92,36,E,8849,35446,2018,29750,1521,19,8
93,39,D,2835,6124,519,28080,1835,11,1
94,42,D,2715,4176,348,28243,1808,13,1
95,53,B,6925,28153,1076,23068,1413,17,6
96,50,D,2822,6204,563,28235,1595,10,2
97,33,C,3294,475,786,24395,1183,15,3
98,39,B,6244,25643,1036,22966,2010,16,5
99,71,E,8322,62887,1675,29322,1673,21,7
100,37,B,6616,29887,1115,23090,1404,17,6
101,47,E,7961,55515,1855,29656,1715,19,7
102,40,C,3694,7703,747,25156,1618,15,3
103,38,C,3744,1985,760,26869,1912,17,2
104,35,D,2714,5403,462,28120,1410,15,2
105,30,B,7056,21990,1121,22637,1500,16,6
106,34,A,4644,29048,1074,16147,2388,18,3
107,32,B,5187,19712,1251,22601,1390,20,4
108,56,C,3863,5839,778,25905,968,12,3
109,37,D,2482,5966,457,27887,1852,10,1
110,55,D,2296,3413,518,28241,1307,13,1
111,48,B,7366,24734,1205,22597,1669,18,6
112,50,A,5250,19199,1066,15423,1526,18,4
113,50,C,3869,13087,682,24352,1337,12,3
114,20,A,5238,31353,931,12218,1628,15,4
115,36,A,5134,31501,974,16649,1550,17,4
116,35,C,3108,5314,972,26999,1694,13,2
117,36,B,7455,31973,1121,22689,1525,20,6
118,43,C,3418,8095,927,26030,1329,16,3
119,53,B,6140,23249,1048,22902,1543,19,5
120,36,A,5931,26109,1156,16938,1487,16,5
121,37,A,4081,24380,1115,14211,1819,20,3
122,35,A,4609,11642,1020,14917,1783,13,3
123,47,A,5876,31126,1272,12441,1445,14,5
124,57,E,8884,41560,1793,29573,2318,14,7
125,23,E,8523,25394,1600,29276,1109,19,8
126,16,C,3944,17439,975,26093,1503,14,3
127,42,B,7911,23417,1101,23236,1543,14,7
128,26,B,6464,11557,1086,22849,1923,17,5
129,51,D,2144,5338,468,28218,1844,11,1
130,31,B,6590,29076,1217,22965,1036,20,6
131,59,A,5046,10769,885,16457,1040,17,5
132,46,D,2103,4278,542,28259,1898,13,1
133,35,A,4819,24464,1032,19708,1743,22,4
134,38,B,7249,14628,1227,22496,2216,17,6
135,44,D,3878,8900,500,28020,1872,11,3
136,40,E,9324,95920,1397,28931,1676,15,8
137,57,D,3235,8083,571,28051,1709,12,2
138,24,A,5086,12285,1396,19470,1336,15,4
139,27,A,5823,19445,963,18069,1859,18,4
140,55,C,3065,1125,716,26908,1766,14,2
141,43,A,5493,29699,1386,18287,1711,18,4
142,36,D,3384,7131,454,27941,1663,17,2
143,43,C,4077,2489,739,25601,1567,17,3
144,48,D,3197,7166,428,27901,1700,16,2
145,48,B,8238,26967,1004,22743,2078,15,7
146,36,D,2941,5571,518,27901,1933,13,2
147,35,C,3049,1219,717,26607,1596,17,2
148,44,A,5278,25607,1234,16429,1551,20,4
149,26,A,5158,19519,1116,12324,2046,14,4
150,49,D,1790,2908,424,28113,1003,11,1
151,32,C,3205,11649,846,25501,1633,14,2
152,24,B,5751,17067,1130,23261,2023,21,4
153,33,D,2789,6846,553,28052,1942,12,1
154,59,A,5181,30100,1160,18853,1715,16,4
155,10,E,7618,57420,1936,29624,1155,16,7
156,70,E,6471,44525,1424,29538,2182,19,5
157,41,E,8007,42305,2167,29350,1892,16,7
158,56,A,5024,21759,1355,19778,1939,19,4
159,38,B,7904,28732,1239,22952,1774,15,7
160,48,B,6132,17281,1215,22585,1483,17,5
161,25,D,3329,6317,509,28202,1518,8,2
162,53,A,4940,25092,549,15089,2181,17,3
163,51,C,3545,2718,707,25836,1789,16,2
164,38,C,3692,4632,707,26666,1513,13,3
165,44,C,3199,1645,618,27260,961,10,3
166,56,C,4242,10930,1065,24807,2192,16,3
167,18,C,3359,9657,879,26502,2038,14,2
168,50,E,8112,44974,2307,29352,2280,19,6
169,56,A,4572,21974,967,20601,1918,20,3
170,44,C,3830,12374,786,27096,1906,17,2
171,28,D,2665,4893,489,28150,1699,12,1
172,77,C,3673,4207,609,27188,1718,13,2
173,29,B,7461,20363,1288,23207,1986,18,6
174,50,C,4466,16119,752,24958,1689,16,3
175,26,E,7136,35259,2028,29595,1900,21,6
176,45,D,3858,5633,519,28198,1636,13,3
177,49,B,7902,25820,1259,22510,2002,15,6
178,59,C,4310,5047,906,25431,1925,12,3
179,49,E,8536,61849,1197,28876,1320,19,8
180,31,D,4474,8418,521,28032,1638,11,3
181,31,C,4215,17191,793,24294,1545,15,3
182,45,B,6581,18727,993,22426,1736,14,5
183,57,C,4332,10996,636,25798,1137,17,4
184,33,D,3667,10928,514,28135,1613,12,3
185,25,E,7922,85893,1744,29125,844,26,8
186,55,C,4164,8665,997,26957,1796,16,3
187,62,D,1820,2261,503,28103,1598,10,1
,50,C,3654,3391,810,26441,1492,16,3
,31,A,4222,17604,705,14480,2010,18,3
,38,A,4937,21711,786,17953,1624,17,4
,46,D,2705,3992,506,28097,1955,13,1
,38,B,7661,26412,1244,22891,2412,18,6
,37,D,3299,7552,439,28148,1807,14,2
,28,E,8566,62856,1676,29207,1635,17,7
,44,D,2730,6658,530,28224,1812,12,1
,42,C,3875,5088,980,26811,1593,13,3
197,45,B,7550,17751,1305,23220,1536,21,7
198,33,D,2292,4836,416,28108,1357,8,1
199,49,A,5421,31806,1093,15667,2065,14,4
200,40,E,6839,1262,2070,29274,2271,19,5
201,33,E,7513,70800,1491,29024,1378,20,7
202,23,D,2684,7544,582,28051,1596,11,2
203,44,B,6856,16738,1023,23214,1719,16,6
204,30,E,8171,18710,1697,29557,1984,18,7
205,30,B,8082,29109,1252,22503,1427,17,7
206,44,A,5202,32206,764,17123,2182,17,4
207,40,C,4448,12837,784,24717,1563,17,3
208,42,C,3032,7725,637,26934,1758,14,2
209,46,E,8013,19762,1964,29543,1788,18,7
210,37,C,3830,12129,655,26018,1866,13,2
211,52,E,8292,28425,1758,29452,1284,17,8
212,47,B,6243,7813,1056,22499,1436,14,5
213,57,D,2939,6884,555,27964,1816,12,2
214,55,B,6616,23098,1146,22674,1132,16,6
215,52,E,8204,41670,1471,29538,1888,20,7
216,38,C,2914,8288,708,25154,1475,15,2
217,36,C,3361,8443,774,27094,1842,16,2
218,34,A,5301,32951,1149,20497,1796,17,4
219,19,B,6711,22716,1230,22919,1873,15,5
220,41,C,3908,5385,792,25811,1767,14,3
221,37,D,1689,2260,429,28119,1687,13,1
222,33,C,3319,4944,828,26500,1537,16,2
223,56,C,3673,4909,728,24666,1612,12,3
224,26,E,7120,45711,1362,28957,1944,20,6
225,47,B,6248,22480,1339,22916,1085,21,6
226,36,D,1654,3144,467,28148,1954,13,0
227,33,E,7502,50746,1852,29155,1914,19,6
228,32,E,8237,69202,2041,28889,1242,18,7
229,44,A,4761,18861,886,14073,1762,15,3
230,34,C,3364,6238,920,24876,1818,14,2
231,52,C,4281,11029,698,25606,1398,17,3
232,29,E,8106,21545,1454,28979,1773,20,7
233,27,A,5653,36815,1215,22011,1625,21,5
234,28,C,3272,10553,708,25263,1956,15,2
235,61,A,5313,29228,906,19909,1857,19,4
236,25,C,3594,6131,741,27058,2355,13,2
237,33,C,3100,8477,616,26340,1413,14,2
238,41,A,4208,21256,943,20764,1906,11,3
239,45,B,9471,44850,1217,22636,1074,15,9
240,30,C,3266,2019,887,26014,1692,19,2
241,38,B,5723,22665,1187,23048,1813,19,4
242,53,B,5344,9166,1243,22582,1754,20,4
243,43,A,5050,19299,1054,16780,1594,14,4
244,42,B,7237,30552,1192,22914,1462,17,6
245,52,C,3538,14550,741,25994,1968,13,2
246,29,B,7313,12216,1263,22621,1718,19,6
247,41,C,3472,5990,977,24837,1737,16,2
248,40,D,3237,4944,459,28114,2275,14,1
249,34,B,6569,18068,1218,22435,1927,19,5
250,50,B,8138,7071,1150,22539,1396,19,7
251,45,A,4249,19869,1076,13841,1998,14,3
252,49,A,4448,34329,882,16974,1676,19,3
253,34,C,3513,4130,766,26575,1667,15,2
254,15,B,6928,23719,1218,23259,1571,20,6
255,34,C,2696,9278,734,24738,2114,12,1
256,54,C,3641,6922,769,27219,1609,13,3
257,59,D,1875,4745,504,27901,2108,13,0
258,56,C,3848,13214,731,26541,1527,15,3
259,37,C,3824,7514,711,24284,1677,17,3
260,55,C,2835,6389,826,26790,1674,13,2
261,31,D,2059,3409,433,27972,2192,10,0
262,28,C,4217,963,619,26861,1593,16,3
263,22,E,6934,71132,1356,29240,1433,16,6
264,35,E,7971,19261,1349,29127,1540,18,7
265,38,E,8880,9899,1896,29542,2017,20,7
266,32,E,7980,33512,2489,29664,1351,18,7
267,14,B,7205,22212,1263,23150,2034,20,6
268,46,C,3932,5261,746,26468,1994,12,2
269,35,B,8875,17010,1232,22748,1557,18,8
270,49,E,8031,15026,1567,29874,1931,16,7
271,30,D,2692,6021,587,27927,1691,12,2
272,43,D,1965,3479,577,28243,2334,13,0
273,50,D,2914,4543,489,28177,1481,13,2
274,49,C,3326,1061,743,26557,1192,15,3
275,60,A,5153,10142,756,14434,1539,17,4
276,23,E,7383,22995,2000,29081,1500,23,6
277,56,C,3220,4447,821,24713,987,14,3
278,48,D,2761,4966,452,27930,1618,8,2
279,34,C,3998,8012,878,26028,1843,14,3
280,41,B,9062,30720,1153,23060,1869,19,8
281,30,D,1866,4059,474,27993,1572,16,1
282,40,C,3924,11854,866,24400,1835,16,3
283,25,,7519,22280,1137,22831,1626,14,6
284,47,,8899,34173,1072,23066,2112,16,7
285,28,,7880,27371,1300,29708,1926,16,6
286,38,,4841,23572,787,13690,1057,12,4
287,60,,3393,9962,832,26589,1559,15,2
288,37,,4649,20779,1241,15223,1952,16,3
289,39,,5621,27000,956,13073,1778,15,4
290,51,,4521,26418,871,22031,1722,18,3
291,38,,3759,5824,785,24848,1266,15,3
292,41,,2721,6098,504,28174,1298,11,2
293,43,,3011,10263,837,26284,2084,12,1
294,31,,4172,7769,886,26115,1569,13,3
295,26,C,3026,2867,792,26882,1803,15,2
296,44,C,3428,9345,735,24515,1938,14,2
297,41,C,3646,6462,928,24932,1038,15,3
298,61,D,2583,4616,486,27992,1916,9,1
299,48,A,5455,35959,997,16538,1756,17,4
300,39,D,1643,3458,391,28023,2037,9,0
301,28,E,8038,41850,2043,29002,1000,20,8
302,52,A,5974,25062,1270,13874,1492,17,5
303,43,B,5204,7445,1229,22807,1517,16,4
304,38,C,4733,7817,835,24693,1699,18,4
305,45,E,8680,11969,1723,29858,1628,18,8
306,31,E,8310,46022,1504,29451,1640,20,7
307,54,D,2759,4921,457,27974,1607,14,2
308,31,D,2299,4932,537,27923,1163,16,2
309,18,E,7876,19399,1239,28952,1645,16,7
310,55,B,7610,35224,1173,22982,1676,17,6
311,23,B,7308,26477,1189,22975,1671,18,6
312,31,A,5063,18920,996,14933,1924,14,4
313,49,A,5848,41307,1173,16851,1469,18,5
314,30,A,4791,20865,1255,20480,1586,13,4
315,41,A,4726,30582,988,15580,1408,15,4
316,38,C,3059,2461,937,26213,1936,12,2
317,35,D,2114,3837,589,28196,2349,11,0
318,39,A,5174,36964,1184,15109,1377,13,4
319,51,D,3644,9155,438,28094,1814,17,2
320,34,D,2771,7292,568,27947,991,12,2
321,56,A,6184,35913,1026,13520,1400,18,5
322,38,A,4208,19444,1008,16853,1517,18,3
323,43,D,1248,3225,467,28038,1305,13,0
324,44,C,3514,1583,588,25961,1848,13,2
325,49,B,6750,18831,1292,22721,1900,19,5
326,36,E,7656,34579,1820,29686,1344,19,7
327,63,A,5223,27499,1198,16480,1411,18,4
328,35,C,3402,5189,839,26897,2089,13,2
329,40,C,3526,8805,897,27210,2297,18,2
330,34,B,7643,29038,1208,23273,1611,18,7
331,48,B,8663,21734,1215,23044,1228,16,8
332,58,C,3656,11725,769,25569,1897,16,2
333,32,C,3582,6668,869,24868,1298,12,3
334,34,A,5811,23641,873,17459,1569,16,5
335,34,D,1378,3239,453,27987,1295,12,1
336,57,B,7465,22785,1389,22912,1640,20,6
337,25,E,8169,73116,1711,29555,1680,19,7
338,18,A,5422,27036,1180,19564,1704,20,4
339,58,A,4729,23835,1033,14819,1886,15,3
340,43,E,9415,10720,1883,29451,1483,19,8
341,48,C,4081,6263,658,25491,2281,17,2
342,43,E,7982,78375,2377,29096,1671,18,7
343,75,B,8175,12280,1075,22705,2128,16,7
344,19,D,3188,8131,573,28181,1413,15,2
345,36,B,8305,13440,1155,22479,1075,14,8
346,35,B,5971,15282,1208,22517,1802,13,5
347,42,E,7500,20874,1140,29417,1694,22,6
348,50,C,3873,9748,779,25216,1809,11,3
349,44,D,898,1018,537,28146,1953,15,0
350,52,E,8342,47016,2541,29531,1073,19,8
351,39,C,3497,1329,734,25843,1704,18,2
352,34,D,3172,5566,425,27883,1667,11,2
353,26,D,1450,4148,496,28146,1364,12,1
354,54,D,1893,2205,551,27943,2008,12,0
355,48,D,2993,9255,394,28152,1792,14,2
356,24,D,2709,5470,465,28017,2188,10,1
357,43,A,4808,22736,1112,15633,1460,15,4
358,40,C,2553,4520,730,25594,1676,15,1
359,38,C,3728,6046,897,25520,2255,16,2
360,49,B,6811,21376,1107,23208,2070,20,5
361,29,D,2986,6530,485,27963,1794,12,2
362,22,A,3843,23913,730,14255,1312,19,3
363,56,A,5252,33642,954,16095,1111,14,5
364,45,C,4309,8493,862,25617,1556,15,3
365,36,B,7375,31803,1310,22422,2640,21,5
366,52,B,6925,25138,1191,22752,1703,18,6
367,40,D,2363,4707,516,27907,2642,11,0
368,50,C,3138,5770,898,24450,2251,18,1
369,44,E,8830,47566,2216,29228,2063,17,7
370,30,E,7174,27496,1389,29689,1706,18,6
371,48,B,6178,8776,1210,23044,1839,16,5
372,43,D,3375,10219,410,28042,1628,14,2
373,35,A,3719,23655,929,13300,1123,16,3
374,54,C,3686,14129,952,24803,1840,17,2
375,32,B,6620,14059,1085,22774,2139,16,5
376,41,C,3309,1872,883,25459,2140,14,2
377,34,E,7858,47663,1564,29109,1949,16,6
378,34,C,3727,13712,679,24376,1434,17,3
379,38,A,5836,26392,998,18158,1532,14,5
380,26,B,6520,19994,1172,23237,1984,16,5
381,29,B,6152,21009,1335,22573,1336,18,5
382,45,D,2005,2202,459,27886,2031,14,0
383,35,B,6259,12728,1214,22683,1893,19,5
384,37,A,4353,13712,1081,20572,1321,17,4
385,40,C,3591,380,773,25895,1785,16,2
386,42,C,4059,4383,825,27212,1783,16,3
387,61,E,6992,40736,1455,28955,1634,21,6
388,56,A,5087,26860,855,21396,976,14,5
389,20,C,3713,6518,751,26371,1262,12,3
390,47,D,2319,4141,504,27939,1466,9,1
391,51,B,7833,41542,1300,23074,1252,19,7
392,37,D,3561,6187,587,28201,1571,10,2
393,44,A,5540,23659,1173,20235,1792,19,4
394,43,A,4435,17792,588,17945,1654,19,3
395,45,E,8976,37648,1457,29683,1318,18,8
396,37,B,7784,20602,1281,22785,1834,21,6
397,45,B,8195,29381,1182,23178,2367,15,6
398,44,B,6361,29772,1220,22427,1771,18,5
399,50,C,3614,14017,969,24980,972,10,3
400,41,A,5361,37864,739,21534,1781,17,4
401,40,B,7008,18639,1238,22706,2021,18,5
402,53,D,2288,5258,597,28113,1745,14,1
403,28,A,4925,20755,1063,15304,1617,19,4
404,34,A,4062,17069,1219,15115,1487,16,3
405,41,A,4046,15416,899,20142,1353,15,3
406,42,B,8753,21620,1371,23239,2305,15,7
407,37,C,3267,4958,1006,24490,2045,14,2
408,41,E,8035,51218,1694,29325,2005,17,7
409,31,C,3440,18706,827,25793,1398,16,3
410,54,D,3462,5736,432,28048,1859,11,2
411,41,C,3379,1049,734,25303,1974,13,2
412,23,B,6853,26758,1178,22430,1422,19,6
413,28,D,2194,3774,474,27904,1449,13,1
414,39,C,3290,3569,816,25323,1227,16,3
415,59,E,7123,30192,1412,29719,1773,17,6
416,28,E,7727,42894,1124,29140,1987,22,6
417,33,B,4345,7448,1299,22491,1575,20,3
418,60,C,3938,10751,911,25984,1252,14,3
419,59,D,2791,3769,488,28271,1708,9,2
420,29,B,7605,22882,1207,23229,1903,16,6
421,42,D,2434,4425,454,28073,2217,13,1
422,53,B,7670,22266,1236,22451,1470,18,7
423,35,A,5179,19018,575,14732,1702,15,4
424,45,A,5816,29331,804,19191,1638,13,5
425,35,E,7718,53117,2314,28924,1802,20,6
426,45,E,9256,58308,1798,29665,1995,20,8
427,58,C,2788,6800,980,26972,1338,14,2
428,45,E,8489,58107,1714,29038,2166,21,7
429,59,E,7664,42742,1776,29573,2028,17,6
430,42,B,6674,28905,1264,22807,1716,19,5
431,24,A,4150,12154,905,15602,1301,15,3
432,40,B,6070,11025,1225,22989,1465,19,5
433,57,D,2400,3739,548,28227,1413,16,1
434,38,D,2363,4853,482,27890,1163,10,2
435,42,A,4577,27987,1101,15925,1890,19,3
436,12,A,4280,18073,1371,17522,1390,14,3
437,55,C,3139,11750,777,25534,718,12,3
438,33,D,1917,3485,543,27999,1198,13,1
439,13,E,7766,43471,1761,29360,1733,20,7
440,43,E,8637,54827,1868,29721,1551,23,8
441,53,E,8370,59214,1606,29533,1040,18,8
442,43,D,3431,8252,433,28261,1596,12,2
443,41,B,6296,13989,1078,22660,1465,20,5
444,50,D,1707,2715,558,27955,1927,14,0
445,26,D,3138,6917,504,28103,1299,12,2
446,44,C,3156,6296,593,26703,2335,13,1
447,31,A,4798,21405,456,15039,1942,20,3
448,50,A,5711,27059,1092,13161,1677,17,5
449,25,E,7741,30440,1565,29165,1484,20,7
450,44,B,4893,15004,1292,22888,1683,21,4
451,57,E,7271,41979,1489,29110,1561,17,6
452,47,B,8148,41380,1158,22839,1452,18,7
453,39,B,6449,18741,1131,23212,1931,15,5
454,39,B,6898,17105,1165,22945,1315,21,6
455,49,A,5973,32954,886,12255,1474,18,5
456,31,C,2984,3958,896,25263,1031,15,2
457,43,A,4346,25626,1027,19314,1228,19,4
458,34,C,4071,3272,883,25284,1968,12,3
459,34,D,2439,3998,495,27945,1577,11,1
460,54,D,3559,6484,531,28170,1889,13,2
461,33,E,7962,47507,1661,29732,1855,19,7
462,63,B,7542,18048,1137,22492,1784,21,6
463,46,B,8553,20121,1002,23274,1489,18,8
464,30,A,4599,15830,920,17873,1919,17,3
465,26,C,3627,5441,601,24324,2008,18,2
466,54,B,7928,17884,1200,22520,1124,18,7
467,34,E,7875,39078,1510,29323,1728,18,7
468,38,C,3838,9273,883,27125,1616,12,3
469,24,A,4924,21433,881,12846,2267,16,3
470,40,E,8650,51716,1176,29160,1876,17,7
471,41,D,2235,3998,599,28250,1264,14,1
472,61,A,5055,36649,1031,16220,2037,17,4
473,45,A,4636,33967,1136,17988,1377,19,4
474,32,E,7928,1340,2106,29131,2059,18,6
475,28,B,7665,31532,1133,23026,1661,17,7
476,34,A,6120,21636,973,20546,1927,15,5
477,19,B,7348,26428,1204,22897,2297,15,6
478,44,A,4374,23538,1172,14521,2070,15,3
479,43,B,6359,18867,1057,22925,1016,20,6
480,23,A,5818,29916,1011,19551,1260,16,5
481,55,B,8474,26393,1202,22914,1383,17,8
482,50,A,5492,42963,643,21911,950,16,5
483,46,B,5828,16282,1318,23016,1465,17,5
484,49,B,7092,17057,1246,22485,1215,20,6
485,42,B,8092,10079,1141,22447,1829,20,7
486,26,E,7514,46678,1802,29084,1719,17,6
487,33,A,5269,28591,658,15492,2147,18,4
488,54,B,7694,28257,1101,22629,1880,19,6
489,47,C,3202,6750,924,24625,1285,11,2
490,32,B,8067,16535,1178,23022,1776,17,7
491,47,C,2992,8192,784,25925,1545,15,2
492,40,A,5378,38013,1355,14192,1726,15,4
493,39,C,3412,11555,733,25454,1785,17,2
494,22,C,3856,928,807,25853,1968,15,2
495,39,D,2683,7135,535,28204,1664,10,2
496,30,B,5547,22317,1248,23118,1648,20,4
497,37,B,9082,28470,1247,22958,1599,15,8
498,52,A,5457,28745,809,14484,2268,15,4
499,55,B,5869,7200,1315,23109,1221,22,5
500,42,D,2865,7098,538,28126,1515,10,2
501,44,D,2395,5975,521,28238,1896,13,1
502,36,D,2224,1233,471,27950,1774,15,1
503,40,D,2779,5973,480,27944,1742,11,2
504,21,A,4942,25223,976,17500,2306,17,3
505,46,E,8226,47553,1467,28999,1412,16,7
506,44,C,3496,1889,981,27156,1944,15,2
507,52,C,3386,13033,730,27229,1958,15,2
508,55,E,7355,56453,1058,29860,2054,19,6
509,25,A,6546,50845,760,17794,2240,16,5
510,48,A,4843,12806,992,12191,1222,18,4
511,37,C,3030,7405,937,25723,1750,10,2
512,59,C,3666,9029,991,24704,1636,15,3
513,27,C,3033,7807,992,26709,1786,18,2
514,53,D,3389,6371,496,28119,2110,11,2
515,56,B,6996,15628,1128,22802,1587,16,6
516,49,D,3452,4288,446,27963,1091,12,3
517,52,E,8144,57735,1713,29482,1385,17,7
518,59,D,3328,6056,522,28157,1832,11,2
519,37,E,8927,62214,1103,29800,2033,18,7
520,39,C,4049,5017,902,24402,1369,11,3
521,63,A,5188,24292,1291,18864,2324,16,3
522,37,D,2261,3674,464,27984,2188,13,1
523,56,B,5588,20845,1266,23195,1425,19,5
524,28,B,7519,21148,1259,22709,2106,23,6
525,52,A,5379,18041,1005,12372,2600,16,3
526,38,B,6234,19995,1362,22854,2001,22,5
527,36,B,6349,23945,1208,22643,1519,17,5
528,53,B,6625,12368,1263,22868,1649,18,5
529,48,B,8498,32434,1170,22765,1140,15,8
530,42,D,2023,2883,487,28050,1368,14,1
531,39,C,3661,11841,736,26127,1178,14,3
532,35,A,5313,17775,816,13503,1585,18,4
533,35,E,9028,46935,1205,28877,1709,18,8
534,41,D,2883,4031,563,28092,1686,11,2
535,56,E,8691,27553,1550,28925,2289,20,7
536,47,A,5371,32768,831,12722,1886,18,4
537,49,D,3330,6327,522,27921,1926,12,2
538,63,D,2344,4489,582,28156,2024,12,1
539,34,A,4876,24861,944,17765,1206,16,4
540,60,A,4979,19751,1056,20765,1755,17,4
541,38,A,5931,29649,977,14624,1947,15,4
542,39,B,6736,16085,1159,23083,1426,18,6
543,25,A,5397,36870,550,20877,2337,11,4
544,60,D,2419,3803,571,28067,1885,12,1
545,35,E,8606,58769,1906,29071,1759,17,7
546,33,C,3825,9362,824,26500,1971,15,2
547,38,B,4939,5558,1106,23193,1649,19,4
548,46,C,3577,7933,720,26760,1907,16,2
549,23,D,2777,4316,392,27953,1077,12,2
550,44,E,7075,25675,1672,28950,1741,18,6
551,32,A,5251,27866,1198,16314,1169,16,5
552,31,E,7270,66563,1478,29708,1488,18,6
553,44,B,6943,20041,1125,23233,1779,16,6
554,42,A,4675,15400,958,21148,1427,18,4
555,34,C,3407,3900,837,26440,1717,13,2
556,28,D,2282,2852,524,27925,1821,15,1
557,53,E,7726,29704,1457,29698,1448,15,7
558,12,E,7637,44794,1336,29182,1131,19,7
559,47,C,3405,3089,576,26257,1838,11,2
560,39,D,2718,2716,536,27917,1425,12,2
561,31,E,8748,28415,1526,29086,1908,20,7
562,45,E,7816,38109,1562,29286,2058,20,
563,33,B,5191,25736,1185,23086,1481,18,
564,37,D,2458,5907,458,28038,1879,16,
565,50,A,5008,24049,1109,18460,1869,15,
566,43,B,7053,18610,1152,23226,1731,18,
567,44,D,2611,4980,477,28023,630,11,
568,64,E,7779,53137,1795,29349,1275,18,
569,20,A,4673,20912,1063,17014,2063,19,
570,36,B,7263,29470,1130,22540,1711,19,
